Exercício;"Código Agenda";"Programa";"Objetivo";"Objetivo Específico";"Entrega";"Indicador";"Meta da Entrega";"Meta Cumulativa";"Valor esperado - 1º ano PPA";"Valor esperado - 2º ano PPA";"Valor esperado - 3º ano PPA";"Meta Final PPA";
2025;147;"1190";"1317";"0277";"0689";9613;"05X7";"Sim";41,90;43,80;45,70;47,60;
2025;147;"1190";"1317";"0277";"0694";9617;"05X8";"Sim";2,70;3,30;3,90;4,50;
2025;147;"1190";"1317";"0277";"0698";9620;"05XB";"Sim";100,00;693,00;693,00;1.000,00;
2025;147;"1190";"1317";"0277";"0700";9622;"05XA";"Sim";700,00;800,00;900,00;1.000,00;
2025;147;"1190";"1317";"0280";"0702";9625;"060L";"Sim";10.000,00;15.000,00;100,00;100,00;
2025;147;"1190";"1317";"0280";"0708";9652;"060M";"Sim";2.000,00;2.000,00;2.000,00;1.500,00;
2025;147;"1190";"1317";"0280";"0713";9640;"060O";"Sim";65,00;70,00;75,00;80,00;
2025;147;"1190";"1317";"0280";"0734";9658;"060R";"Sim";160,00;160,00;160,00;120,00;
2025;147;"1190";"1317";"0280";"0743";11002;"061T";"Sim";25.000,00;250.000,00;255.000,00;265.000,00;
2025;147;"1190";"1317";"0281";"0938";9925;"05ZU";"Sim";100,00;226,00;326,00;426,00;
2025;147;"1190";"1317";"0281";"0941";9927;"05ZV";"Sim";100,00;200,00;300,00;400,00;
2025;147;"1190";"1317";"0281";"0942";9929;"05ZW";"Sim";411,00;500,00;600,00;700,00;
2025;147;"1190";"1317";"0281";"0945";9932;"05ZX";"Sim";5,00;10,00;15,00;20,00;
2025;147;"1190";"1317";"0281";"0948";9935;"05ZZ";"Sim";5,00;10,00;15,00;20,00;
2025;147;"1190";"1317";"0281";"0949";9937;"0600";"Sim";5,00;10,00;15,00;20,00;
2025;147;"1190";"1317";"0281";"0950";9938;"0601";"Sim";4,00;4,00;5,00;7,00;
2025;147;"1190";"1317";"0283";"0952";9941;"0604";"Sim";55,00;65,00;75,00;85,00;
2025;147;"1190";"1317";"0283";"0954";9942;"0605";"Sim";2.500,00;9.000,00;10.500,00;12.000,00;
2025;147;"1190";"1317";"0283";"0955";9944;"0607";"Sim";0,00;0,00;4,00;5,00;
2025;147;"1190";"1317";"0283";"0958";9946;"060A";"Sim";1,00;0,00;1,00;3,00;
2025;147;"1190";"1317";"0283";"0961";9953;"060C";"Sim";15,00;35,00;70,00;100,00;
2025;147;"2322";"1256";"0500";"2808";12173;"07F3";"Não";350.000.000,00;450.000.000,00;550.000.000,00;490.000.000,00;
2025;147;"2322";"1256";"0500";"3162";12531;"07Q8";"Não";1,00;0,00;0,00;0,00;
2025;148;"1158";"1318";"0247";"0564";9503;"05BK";"Sim";2.574,00;5.148,00;7.722,00;10.374,00;
2025;148;"1158";"1318";"0247";"0585";9890;"05BM";"Sim";3,00;3,00;4,00;4,00;
2025;148;"1158";"1318";"0247";"0902";9889;"05OC";"Sim";1,00;2,00;2,00;3,00;
2025;148;"1158";"1318";"0247";"1000";9998;"05CU";"Sim";1,00;3,00;5,00;6,00;
2025;148;"1158";"1318";"0247";"1028";10032;"05DY";"Sim";20,00;40,00;50,00;60,00;
2025;148;"1158";"1318";"0247";"1046";10898;"05KD";"Sim";3,00;4,00;5,00;5,00;
2025;148;"1158";"1318";"0247";"1290";10374;"05BL";"Não";1,00;6,00;6,00;6,00;
2025;148;"1158";"1318";"0247";"2107";11478;"06CI";"Não";70,00;70,00;70,00;70,00;
2025;148;"1158";"1318";"0272";"0598";9530;"05UL";"Sim";25,00;50,00;75,00;100,00;
2025;148;"1158";"1318";"0272";"0601";9531;"05UM";"Sim";150,00;1.500,00;2.000,00;2.500,00;
2025;148;"1158";"1318";"0272";"0609";9537;"05UP";"Sim";63,53;67,50;67,50;88,50;
2025;148;"1158";"1318";"0272";"0612";9541;"05T2";"Sim";1.703,00;1.803,00;1.903,00;2.003,00;
2025;148;"1158";"1318";"0272";"0616";9546;"05T4";"Sim";72,00;82,00;92,00;102,00;
2025;148;"1158";"1318";"0272";"1237";10299;"05FZ";"Sim";1,00;1,00;2,00;2,00;
2025;148;"1158";"1318";"0272";"1298";11082;"05O6";"Não";960.000,00;3,00;4,00;4,00;
2025;148;"1158";"1318";"0274";"0626";9565;"05VS";"Sim";10,00;12,50;43,75;68,75;
2025;148;"1158";"1318";"0274";"0635";9577;"05V1";"Sim";0,00;0,00;0,00;50,00;
2025;148;"1158";"1318";"0274";"1668";10897;"05KC";"Sim";1,00;0,00;1,00;4,00;
2025;148;"1158";"1318";"0275";"0638";9582;"05ZD";"Sim";20.000.000,00;17.000.000,00;18.000.000,00;20.000.000,00;
2025;148;"1158";"1318";"0275";"0639";9584;"05ZE";"Sim";10,00;5,00;11,00;11,00;
2025;148;"1158";"1318";"0275";"0641";9585;"05ZF";"Sim";400,00;1.000,00;1.500,00;1.500,00;
2025;148;"1158";"1318";"0275";"0642";9587;"05ZH";"Sim";1,00;4,00;6,00;6,00;
2025;148;"1158";"1318";"0275";"0644";9589;"05ZK";"Sim";0,00;7,00;12,00;12,00;
2025;148;"1158";"1318";"0279";"0647";9590;"05UA";"Não";100,00;220,00;270,00;320,00;
2025;148;"1158";"1318";"0279";"0651";9591;"05UC";"Não";10.000,00;47.000,00;52.000,00;57.000,00;
2025;148;"1158";"1318";"0416";"1281";10346;"05W8";"Sim";25,00;50,00;75,00;100,00;
2025;148;"1158";"1318";"0416";"1288";10358;"05W1";"Sim";25,00;50,00;75,00;100,00;
2025;148;"1158";"1318";"0416";"1292";10376;"05VY";"Sim";25,00;25,00;50,00;100,00;
2025;148;"1158";"1318";"0416";"1311";10387;"05VZ";"Sim";3,00;1,00;3,00;5,00;
2025;148;"1158";"1318";"0416";"1315";10394;"05W9";"Sim";6,00;3,00;6,00;9,00;
2025;148;"1158";"1318";"0416";"1318";10397;"05ZS";"Sim";10,00;25,00;30,00;50,00;
2025;148;"2318";"1263";"0013";"0273";9106;"06UK";"Sim";50,00;100,00;100,00;100,00;
2025;148;"2318";"1263";"0013";"0275";9112;"06UI";"Sim";25,00;100,00;100,00;100,00;
2025;148;"2318";"1263";"0013";"0299";9137;"07GP";"Não";121,00;121,00;121,00;121,00;
2025;148;"2318";"1263";"0013";"0306";9144;"07GR";"Sim";14,00;17,00;20,00;23,00;
2025;148;"2318";"1263";"0013";"0310";9151;"07GS";"Não";25,00;35,00;25,00;25,00;
2025;148;"2318";"1263";"0013";"0314";9156;"07GT";"Sim";83,00;100,00;150,00;200,00;
2025;148;"2318";"1263";"0013";"0377";9233;"06CA";"Não";92,00;120,00;50,00;50,00;
2025;148;"2318";"1263";"0013";"1740";11000;"05VL";"Sim";3.263,00;1.219,00;1.359,00;1.471,00;
2025;148;"2318";"1263";"0013";"2824";12189;"07FO";"Não";1.490.000.000,00;729.334.853,47;690.948.808,55;571.952.069,30;
2025;148;"2318";"1263";"0013";"2825";12191;"07FP";"Não";52,00;70,00;70,00;70,00;
2025;148;"2318";"1263";"0013";"3036";12403;"07MN";"Não";2,00;3,00;3,00;4,00;
2025;148;"2318";"1263";"0013";"3096";12465;"07OE";"Não";1,00;0,00;0,00;0,00;
2025;148;"2318";"1263";"0013";"3103";12472;"07OL";"Não";1,00;0,00;0,00;0,00;
2025;148;"2318";"1263";"0013";"3108";12477;"07OQ";"Não";1,00;0,00;0,00;0,00;
2025;148;"2318";"1263";"0013";"3153";12522;"07PZ";"Não";1,00;0,00;0,00;0,00;
2025;148;"2318";"1263";"0013";"3157";12526;"07Q3";"Não";1,00;0,00;0,00;0,00;
2025;148;"2318";"1263";"0013";"3158";12527;"07Q4";"Não";1,00;0,00;0,00;0,00;
2025;148;"2318";"1263";"0013";"3167";12536;"07QD";"Não";1,00;0,00;0,00;0,00;
2025;148;"2318";"1263";"0023";"1760";11037;"061R";"Sim";0,68;0,70;0,72;0,75;
2025;148;"2318";"1263";"0023";"1831";11129;"061W";"Não";100,00;100,00;100,00;100,00;
2025;148;"2318";"1263";"0023";"2022";11350;"05Z3";"Não";100,00;100,00;100,00;100,00;
2025;149;"1144";"1255";"0007";"0006";8775;"06AD";"Não";19,00;9,00;10,00;11,00;
2025;149;"1144";"1255";"0007";"0041";8826;"06AM";"Não";9,95;11,79;13,60;15,35;
2025;149;"1144";"1255";"0033";"0047";8831;"06FE";"Não";404.013.424.594,37;470.398.519.795,52;548.405.619.034,71;640.204.442.146,29;
2025;149;"1144";"1255";"0033";"0048";9516;"06FI";"Não";1.912.394,00;1.892.427,00;1.873.427,00;1.855.389,00;
2025;149;"1144";"1255";"0036";"0136";8934;"06AX";"Sim";50,00;60,00;77,00;100,00;
2025;149;"1144";"1255";"0036";"1399";10522;"06BB";"Sim";1,00;5,00;9,00;13,00;
2025;149;"1144";"1255";"0175";"0331";9184;"06BF";"Não";3,00;20.000,00;20.000,00;20.000,00;
2025;149;"1144";"1255";"0175";"0342";9188;"06BK";"Sim";600.077,00;100.000,00;200.000,00;300.000,00;
2025;149;"1144";"1255";"0175";"0348";9196;"06BQ";"Sim";17.500,00;30.454,00;49.249,00;69.979,00;
2025;149;"1144";"1255";"0187";"0371";9222;"06BV";"Sim";18.000,00;2.500,00;3.000,00;3.500,00;
2025;149;"1144";"1255";"0187";"0372";9223;"06DP";"Sim";5.000,00;500,00;700,00;800,00;
2025;149;"1144";"1255";"0187";"0373";9225;"06DQ";"Não";1,00;1,00;1,00;1,00;
2025;149;"1144";"1255";"0525";"2025";11355;"0616";"Não";65,00;70,00;75,00;80,00;
2025;149;"1144";"1255";"0525";"2026";11357;"0617";"Não";27,00;27,00;27,00;27,00;
2025;149;"1144";"1255";"0525";"2027";11358;"0618";"Não";2.500,00;2.500,00;2.500,00;2.500,00;
2025;149;"1144";"1255";"0525";"2028";11359;"0619";"Não";100,00;10,00;10,00;10,00;
2025;149;"1189";"1319";"0258";"0608";9535;"06DA";"Sim";0,00;10,00;30,00;100,00;
2025;149;"1189";"1319";"0258";"0611";9542;"05SV";"Sim";10,00;20,00;30,00;40,00;
2025;149;"1189";"1319";"0258";"0615";9552;"061U";"Sim";88,00;103,00;118,00;133,00;
2025;149;"1189";"1319";"0262";"0619";9558;"05V4";"Sim";17.000,00;19.049,00;21.000,00;23.000,00;
2025;149;"1189";"1319";"0266";"0631";9576;"05U2";"Sim";3,00;7,00;11,00;15,00;
2025;149;"1189";"1319";"0266";"0637";9583;"05U3";"Sim";2.500.000,00;3.000.000,00;3.600.000,00;4.200.000,00;
2025;149;"1189";"1319";"0271";"0640";9586;"0610";"Sim";21,00;37,00;40,00;41,00;
2025;149;"1189";"1319";"0271";"0643";9588;"0613";"Sim";20,00;35,00;55,00;75,00;
2025;149;"1189";"1319";"0271";"0646";9592;"067M";"Não";60.000,00;60.000,00;50.000,00;50.000,00;
2025;149;"1189";"1319";"0273";"0657";9594;"064O";"Sim";50.000,00;70.000,00;100.000,00;120.000,00;
2025;149;"1189";"1319";"0273";"0666";9598;"064R";"Sim";30.000,00;5.000,00;11.500,00;15.000,00;
2025;149;"1189";"1319";"0273";"0669";9600;"06DF";"Sim";60,00;89,00;90,00;91,00;
2025;149;"1189";"1319";"0273";"0673";9604;"064Y";"Sim";10,00;20,00;30,00;40,00;
2025;149;"1189";"1319";"0273";"0676";9606;"0615";"Sim";5,00;7,00;10,00;15,00;
2025;149;"1189";"1319";"0273";"0682";9609;"063J";"Sim";20,00;74,00;75,00;80,00;
2025;149;"1189";"1319";"0273";"1377";10478;"0650";"Sim";26,00;34,00;39,00;44,00;
2025;149;"1189";"1319";"0273";"1378";10483;"063K";"Sim";12,00;25,00;37,00;50,00;
2025;150;"2316";"1326";"0317";"1305";10789;"05IN";"Sim";46,00;48,00;50,00;51,00;
2025;150;"2316";"1326";"0317";"1307";10784;"05IL";"Sim";28,00;29,00;30,00;31,00;
2025;151;"2315";"1275";"0380";"2404";11755;"070R";"Não";4.000.000.000,00;4.000.000.000,00;4.000.000.000,00;4.000.000.000,00;
2025;152;"2801";"1333";"0390";"1057";10062;"05WU";"Sim";0,00;0,00;6,00;12,00;
2025;152;"2801";"1333";"0427";"1379";10492;"05XE";"Não";20.700,00;18.400,00;16.100,00;13.800,00;
2025;152;"2801";"1333";"0427";"1391";10529;"05XG";"Não";1,00;2,00;3,00;10,00;
2025;152;"2801";"1333";"0427";"1437";10597;"05XH";"Não";50,00;53,00;56,00;58,00;
2025;152;"2801";"1333";"0427";"1458";10615;"05XI";"Não";100,00;0,00;800,00;0,00;
2025;152;"2801";"1333";"0427";"1475";10672;"05XJ";"Não";20.000,00;35.000,00;40.000,00;50.000,00;
2025;152;"2801";"1333";"0427";"1507";10708;"05XK";"Não";13.000,00;33.000,00;63.000,00;93.000,00;
2025;152;"2801";"1333";"0427";"1542";10738;"05XL";"Sim";30,00;60,00;90,00;120,00;
2025;153;"1144";"1255";"0036";"0136";8934;"06AX";"Sim";50,00;60,00;77,00;100,00;
2025;153;"1144";"1255";"0036";"1399";10522;"06BB";"Sim";1,00;5,00;9,00;13,00;
2025;153;"1158";"1318";"0247";"0564";9503;"05BK";"Sim";2.574,00;5.148,00;7.722,00;10.374,00;
2025;153;"1158";"1318";"0247";"0585";9890;"05BM";"Sim";3,00;3,00;4,00;4,00;
2025;153;"1158";"1318";"0247";"0902";9889;"05OC";"Sim";1,00;2,00;2,00;3,00;
2025;153;"1158";"1318";"0247";"1000";9998;"05CU";"Sim";1,00;3,00;5,00;6,00;
2025;153;"1158";"1318";"0247";"1028";10032;"05DY";"Sim";20,00;40,00;50,00;60,00;
2025;153;"1158";"1318";"0247";"1046";10898;"05KD";"Sim";3,00;4,00;5,00;5,00;
2025;153;"1158";"1318";"0247";"1290";10374;"05BL";"Não";1,00;6,00;6,00;6,00;
2025;153;"1158";"1318";"0247";"2107";11478;"06CI";"Não";70,00;70,00;70,00;70,00;
2025;153;"1158";"1318";"0279";"0647";9590;"05UA";"Não";100,00;220,00;270,00;320,00;
2025;153;"1158";"1318";"0279";"0651";9591;"05UC";"Não";10.000,00;47.000,00;52.000,00;57.000,00;
2025;153;"1189";"1319";"0271";"0640";9586;"0610";"Sim";21,00;37,00;40,00;41,00;
2025;153;"1189";"1319";"0271";"0643";9588;"0613";"Sim";20,00;35,00;55,00;75,00;
2025;153;"1189";"1319";"0271";"0646";9592;"067M";"Não";60.000,00;60.000,00;50.000,00;50.000,00;
2025;153;"1190";"1317";"0283";"0952";9941;"0604";"Sim";55,00;65,00;75,00;85,00;
2025;153;"1190";"1317";"0283";"0954";9942;"0605";"Sim";2.500,00;9.000,00;10.500,00;12.000,00;
2025;153;"1190";"1317";"0283";"0955";9944;"0607";"Sim";0,00;0,00;4,00;5,00;
2025;153;"1190";"1317";"0283";"0958";9946;"060A";"Sim";1,00;0,00;1,00;3,00;
2025;153;"1190";"1317";"0283";"0961";9953;"060C";"Sim";15,00;35,00;70,00;100,00;
2025;153;"2321";"1270";"0058";"1014";10015;"05WE";"Sim";70,00;73,00;76,00;80,00;
2025;153;"2321";"1270";"0058";"1026";10022;"05WF";"Sim";80,00;85,00;90,00;90,00;
2025;153;"2321";"1270";"0058";"1036";10037;"05WH";"Sim";10,00;10,00;20,00;30,00;
2025;153;"5111";"1281";"0441";"1425";10549;"06LO";"Não";1.000,00;1.100,00;1.200,00;1.300,00;
2025;153;"5111";"1281";"0441";"1427";10550;"06M9";"Não";1.200,00;2.000,00;3.000,00;3.000,00;
2025;153;"5111";"1281";"0441";"1428";10552;"06MA";"Não";1.200,00;1.500,00;2.500,00;3.000,00;
2025;153;"6111";"1288";"0413";"1212";10257;"05F9";"Não";70,00;70,00;70,00;70,00;
2025;153;"6111";"1288";"0413";"1215";10263;"05FA";"Não";70,00;70,00;70,00;70,00;
2025;153;"6111";"1288";"0413";"1217";10265;"05FB";"Não";70,00;70,00;70,00;70,00;
2025;153;"6114";"1320";"0239";"1034";10028;"069L";"Sim";22,00;33,00;55,00;66,00;
2025;153;"6114";"1320";"0239";"1037";10031;"069Q";"Não";2.200,00;2.400,00;2.600,00;2.800,00;
2025;153;"6114";"1320";"0239";"1374";10469;"05GZ";"Não";72,00;72,00;72,00;72,00;
2025;153;"6114";"1320";"0250";"1106";10116;"05SA";"Sim";2.860,00;3.200,00;3.280,00;3.360,00;
2025;153;"6114";"1320";"0250";"1178";10209;"061M";"Sim";37,00;42,00;47,00;53,00;
2025;153;"6114";"1320";"0250";"1189";10219;"061P";"Sim";1,00;1,00;2,00;3,00;
2025;155;"1158";"1318";"0274";"0626";9565;"05VS";"Sim";10,00;12,50;43,75;68,75;
2025;155;"1158";"1318";"0274";"0635";9577;"05V1";"Sim";0,00;0,00;0,00;50,00;
2025;155;"1158";"1318";"0274";"1668";10897;"05KC";"Sim";1,00;0,00;1,00;4,00;
2025;155;"6113";"1276";"0032";"1222";10289;"05FK";"Não";70,00;70,00;70,00;70,00;
2025;155;"6113";"1276";"0032";"1240";10302;"05FO";"Não";70,00;70,00;70,00;70,00;
2025;155;"6113";"1276";"0032";"1739";10996;"05UY";"Não";100,00;100,00;100,00;100,00;
2025;155;"6113";"1276";"0032";"2010";11336;"05UZ";"Não";100,00;100,00;100,00;100,00;
2025;155;"6113";"1276";"0091";"0140";8943;"0547";"Não";75,00;75,00;75,00;75,00;
2025;155;"6113";"1276";"0091";"0678";9633;"059O";"Sim";500.000,00;515.000,00;550.000,00;575.000,00;
2025;155;"6113";"1276";"0091";"0701";9639;"059T";"Sim";100.000,00;125.000,00;150.000,00;175.000,00;
2025;155;"6113";"1276";"0091";"0704";9644;"059W";"Não";1,00;1,00;1,00;2,00;
2025;155;"6113";"1276";"0091";"1986";11415;"06FF";"Não";3,00;3,00;3,00;3,00;
2025;155;"6113";"1276";"0099";"0193";8991;"054C";"Sim";8,00;0,00;0,00;25,00;
2025;155;"6113";"1276";"0099";"1985";11413;"06FH";"Sim";0,00;0,00;20.000,00;40.000,00;
2025;155;"6113";"1276";"0099";"2090";11446;"067X";"Sim";25,00;50,00;75,00;75,00;
2025;155;"6113";"1276";"0099";"2104";11448;"067Z";"Sim";20,00;40,00;60,00;60,00;
2025;155;"6113";"1276";"0032";"3283";12550;"07QU";"Sim";1.000,00;2.000,00;3.000,00;4.000,00;
2025;155;"6114";"1320";"0250";"1106";10116;"05SA";"Sim";2.860,00;3.200,00;3.280,00;3.360,00;
2025;155;"6114";"1320";"0250";"1110";10120;"061I";"Sim";15,00;31,00;45,00;60,00;
2025;155;"6114";"1320";"0250";"1114";10127;"061J";"Sim";21,00;1.201,00;1.216,00;1.231,00;
2025;155;"6114";"1320";"0250";"1172";10199;"061K";"Não";45,00;78,00;80,00;82,00;
2025;155;"6114";"1320";"0250";"1176";10206;"061L";"Sim";20,00;30,00;35,00;40,00;
2025;155;"6114";"1320";"0250";"1182";10211;"061N";"Não";14.300,00;350,00;400,00;450,00;
2025;155;"6114";"1320";"0250";"1186";10218;"061O";"Sim";56,00;60,00;65,00;70,00;
2025;155;"6114";"1320";"0250";"1189";10219;"061P";"Sim";1,00;1,00;2,00;3,00;
2025;155;"6114";"1320";"0250";"1192";10226;"05SC";"Sim";2,00;2,00;3,00;3,00;
2025;156;"1158";"1318";"0274";"0626";9565;"05VS";"Sim";10,00;12,50;43,75;68,75;
2025;156;"1158";"1318";"0274";"0635";9577;"05V1";"Sim";0,00;0,00;0,00;50,00;
2025;156;"1158";"1318";"0274";"1668";10897;"05KC";"Sim";1,00;0,00;1,00;4,00;
2025;156;"6113";"1276";"0091";"0140";8943;"0547";"Não";75,00;75,00;75,00;75,00;
2025;156;"6113";"1276";"0091";"0311";9150;"054U";"Sim";8,00;12,00;13,00;14,00;
2025;156;"6113";"1276";"0091";"0321";9166;"054Y";"Sim";3.000,00;4.000,00;5.000,00;6.000,00;
2025;156;"6113";"1276";"0091";"0678";9633;"059O";"Sim";500.000,00;515.000,00;550.000,00;575.000,00;
2025;156;"6113";"1276";"0091";"0701";9639;"059T";"Sim";100.000,00;125.000,00;150.000,00;175.000,00;
2025;156;"6113";"1276";"0091";"0704";9644;"059W";"Não";1,00;1,00;1,00;2,00;
2025;156;"6113";"1276";"0091";"1986";11415;"06FF";"Não";3,00;3,00;3,00;3,00;
2025;156;"6114";"1320";"0250";"1106";10116;"05SA";"Sim";2.860,00;3.200,00;3.280,00;3.360,00;
2025;156;"6114";"1320";"0250";"1110";10120;"061I";"Sim";15,00;31,00;45,00;60,00;
2025;156;"6114";"1320";"0250";"1114";10127;"061J";"Sim";21,00;1.201,00;1.216,00;1.231,00;
2025;156;"6114";"1320";"0250";"1172";10199;"061K";"Não";45,00;78,00;80,00;82,00;
2025;156;"6114";"1320";"0250";"1176";10206;"061L";"Sim";20,00;30,00;35,00;40,00;
2025;156;"6114";"1320";"0250";"1182";10211;"061N";"Não";14.300,00;350,00;400,00;450,00;
2025;156;"6114";"1320";"0250";"1186";10218;"061O";"Sim";56,00;60,00;65,00;70,00;
2025;156;"6114";"1320";"0250";"1189";10219;"061P";"Sim";1,00;1,00;2,00;3,00;
2025;156;"6114";"1320";"0250";"1192";10226;"05SC";"Sim";2,00;2,00;3,00;3,00;
2025;156;"6114";"1320";"0250";"1204";10242;"061Q";"Não";20,00;35,00;40,00;40,00;
2025;157;"5801";"1336";"0389";"1050";10045;"05JM";"Sim";20,00;30,00;40,00;50,00;
2025;157;"5801";"1336";"0389";"1088";10094;"05JS";"Sim";5.000,00;5.000,00;5.000,00;5.000,00;
2025;158;"5801";"1336";"0389";"1011";10853;"05JH";"Sim";12.500,00;12.500,00;12.500,00;12.500,00;
2025;160;"6113";"1276";"0032";"1222";10289;"05FK";"Não";70,00;70,00;70,00;70,00;
2025;160;"6113";"1276";"0032";"1240";10302;"05FO";"Não";70,00;70,00;70,00;70,00;
2025;160;"6113";"1276";"0032";"1739";10996;"05UY";"Não";100,00;100,00;100,00;100,00;
2025;160;"6113";"1276";"0032";"2010";11336;"05UZ";"Não";100,00;100,00;100,00;100,00;
2025;160;"6113";"1276";"0078";"0211";9021;"054H";"Não";100,00;80,00;100,00;100,00;
2025;160;"6113";"1276";"0091";"0140";8943;"0547";"Não";75,00;75,00;75,00;75,00;
2025;160;"6113";"1276";"0091";"0311";9150;"054U";"Sim";8,00;12,00;13,00;14,00;
2025;160;"6113";"1276";"0091";"0321";9166;"054Y";"Sim";3.000,00;4.000,00;5.000,00;6.000,00;
2025;160;"6113";"1276";"0091";"0675";9627;"059F";"Sim";100,00;130,00;170,00;200,00;
2025;160;"6113";"1276";"0091";"0678";9633;"059O";"Sim";500.000,00;515.000,00;550.000,00;575.000,00;
2025;160;"6113";"1276";"0091";"0701";9639;"059T";"Sim";100.000,00;125.000,00;150.000,00;175.000,00;
2025;160;"6113";"1276";"0091";"0704";9644;"059W";"Não";1,00;1,00;1,00;2,00;
2025;160;"6113";"1276";"0091";"1986";11415;"06FF";"Não";3,00;3,00;3,00;3,00;
2025;160;"6113";"1276";"0091";"3281";12549;"07QT";"Não";3,00;3,00;3,00;3,00;
2025;160;"6113";"1276";"0099";"1985";11413;"06FH";"Sim";0,00;0,00;20.000,00;40.000,00;
2025;160;"6113";"1276";"0032";"3283";12550;"07QU";"Sim";1.000,00;2.000,00;3.000,00;4.000,00;
2025;160;"6114";"1320";"0250";"1204";10242;"061Q";"Não";20,00;35,00;40,00;40,00;
2025;161;"1189";"1319";"0273";"0676";9606;"0615";"Sim";5,00;7,00;10,00;15,00;
2025;161;"5801";"1336";"0389";"1011";10853;"05JH";"Sim";12.500,00;12.500,00;12.500,00;12.500,00;
2025;161;"5801";"1336";"0389";"1013";10003;"05JI";"Sim";17.060,00;20.472,00;23.844,00;27.296,00;
2025;161;"5801";"1336";"0389";"1043";10038;"05JL";"Sim";1,00;1,00;1,00;1,00;
2025;161;"5801";"1336";"0389";"1081";10084;"05JQ";"Sim";5.000,00;5.000,00;5.000,00;5.000,00;
2025;161;"5801";"1336";"0389";"1084";10090;"05JR";"Sim";250,00;250,00;250,00;250,00;
2025;162;"1158";"1318";"0274";"0626";9565;"05VS";"Sim";10,00;12,50;43,75;68,75;
2025;162;"1158";"1318";"0274";"0635";9577;"05V1";"Sim";0,00;0,00;0,00;50,00;
2025;162;"1158";"1318";"0274";"1668";10897;"05KC";"Sim";1,00;0,00;1,00;4,00;
2025;162;"3105";"1297";"0113";"0580";9514;"066B";"Não";1,00;2,00;3,00;4,00;
2025;162;"3105";"1297";"0113";"2445";12007;"077Y";"Não";;;;1,00;
2025;162;"6113";"1276";"0032";"1222";10289;"05FK";"Não";70,00;70,00;70,00;70,00;
2025;162;"6113";"1276";"0032";"1240";10302;"05FO";"Não";70,00;70,00;70,00;70,00;
2025;162;"6113";"1276";"0032";"1739";10996;"05UY";"Não";100,00;100,00;100,00;100,00;
2025;162;"6113";"1276";"0032";"2010";11336;"05UZ";"Não";100,00;100,00;100,00;100,00;
2025;162;"6113";"1276";"0078";"0211";9021;"054H";"Não";100,00;80,00;100,00;100,00;
2025;162;"6113";"1276";"0091";"0140";8943;"0547";"Não";75,00;75,00;75,00;75,00;
2025;162;"6113";"1276";"0091";"0311";9150;"054U";"Sim";8,00;12,00;13,00;14,00;
2025;162;"6113";"1276";"0091";"0321";9166;"054Y";"Sim";3.000,00;4.000,00;5.000,00;6.000,00;
2025;162;"6113";"1276";"0091";"0675";9627;"059F";"Sim";100,00;130,00;170,00;200,00;
2025;162;"6113";"1276";"0091";"0678";9633;"059O";"Sim";500.000,00;515.000,00;550.000,00;575.000,00;
2025;162;"6113";"1276";"0091";"0701";9639;"059T";"Sim";100.000,00;125.000,00;150.000,00;175.000,00;
2025;162;"6113";"1276";"0091";"0704";9644;"059W";"Não";1,00;1,00;1,00;2,00;
2025;162;"6113";"1276";"0091";"1986";11415;"06FF";"Não";3,00;3,00;3,00;3,00;
2025;162;"6113";"1276";"0091";"3281";12549;"07QT";"Não";3,00;3,00;3,00;3,00;
2025;162;"6113";"1276";"0099";"0193";8991;"054C";"Sim";8,00;0,00;0,00;25,00;
2025;162;"6113";"1276";"0099";"1985";11413;"06FH";"Sim";0,00;0,00;20.000,00;40.000,00;
2025;162;"6113";"1276";"0099";"2090";11446;"067X";"Sim";25,00;50,00;75,00;75,00;
2025;162;"6113";"1276";"0099";"2104";11448;"067Z";"Sim";20,00;40,00;60,00;60,00;
2025;162;"6113";"1276";"0032";"3283";12550;"07QU";"Sim";1.000,00;2.000,00;3.000,00;4.000,00;
2025;162;"6114";"1320";"0250";"1106";10116;"05SA";"Sim";2.860,00;3.200,00;3.280,00;3.360,00;
2025;162;"6114";"1320";"0250";"1110";10120;"061I";"Sim";15,00;31,00;45,00;60,00;
2025;162;"6114";"1320";"0250";"1114";10127;"061J";"Sim";21,00;1.201,00;1.216,00;1.231,00;
2025;162;"6114";"1320";"0250";"1172";10199;"061K";"Não";45,00;78,00;80,00;82,00;
2025;162;"6114";"1320";"0250";"1176";10206;"061L";"Sim";20,00;30,00;35,00;40,00;
2025;162;"6114";"1320";"0250";"1182";10211;"061N";"Não";14.300,00;350,00;400,00;450,00;
2025;162;"6114";"1320";"0250";"1186";10218;"061O";"Sim";56,00;60,00;65,00;70,00;
2025;162;"6114";"1320";"0250";"1189";10219;"061P";"Sim";1,00;1,00;2,00;3,00;
2025;162;"6114";"1320";"0250";"1192";10226;"05SC";"Sim";2,00;2,00;3,00;3,00;
2025;162;"6114";"1320";"0250";"1204";10242;"061Q";"Não";20,00;35,00;40,00;40,00;
2025;163;"1158";"1318";"0275";"0638";9582;"05ZD";"Sim";20.000.000,00;17.000.000,00;18.000.000,00;20.000.000,00;
2025;163;"1158";"1318";"0275";"0639";9584;"05ZE";"Sim";10,00;5,00;11,00;11,00;
2025;163;"1158";"1318";"0275";"0641";9585;"05ZF";"Sim";400,00;1.000,00;1.500,00;1.500,00;
