Exercício;"Código Agenda";"Programa";"Objetivo";"Objetivo Específico";"Indicador";"Meta do Objetivo Específico";"Meta Cumulativa";"Valor esperado - 1º ano PPA";"Valor esperado - 2º ano PPA";"Valor esperado - 3º ano PPA";"Meta Final PPA";
2025;7;"2320";"1260";"0507";11122;"06S4";"Não";1,00;2,00;1,00;1,00;
2025;7;"5111";"1281";"0039";8832;"06GC";"Não";41,50;45,40;48,50;51,80;
2025;7;"5117";"1266";"0152";10876;"05SP";"Não";22.000.000,00;26.000.000,00;27.000.000,00;28.000.000,00;
2025;7;"5117";"1266";"0153";10877;"05T5";"Não";207,00;207,00;207,00;207,00;
2025;7;"5121";"1316";"0388";10100;"05MT";"Sim";28,00;61,00;79,00;79,00;
2025;7;"5121";"1316";"0475";11034;"05R3";"Sim";11.630,00;29.576,00;34.571,00;39.116,00;
2025;7;"5123";"1280";"0067";10906;"05KE";"Não";5,00;1,00;10,00;30,00;
2025;7;"5126";"1337";"0431";10456;"06P9";"Não";60.000,00;14.533,00;14.533,00;14.533,00;
2025;7;"5128";"1321";"0244";9409;"0572";"Não";100,00;100,00;100,00;100,00;
2025;7;"5128";"1321";"0257";9432;"057A";"Sim";70,00;75,00;80,00;83,00;
2025;7;"5128";"1321";"0261";9459;"0588";"Sim";79,00;80,00;81,00;82,00;
2025;7;"5128";"1321";"0296";9520;"058N";"Sim";94,00;95,00;95,50;96,00;
2025;7;"5129";"1249";"0002";10976;"05N8";"Sim";84,00;84,50;85,00;86,00;
2025;7;"5129";"1249";"0231";9303;"0562";"Sim";60,00;70,00;80,00;90,00;
2025;7;"5131";"1322";"0253";9417;"056Z";"Sim";69,00;71,00;72,00;73,00;
2025;7;"5131";"1322";"0276";9478;"057Z";"Sim";68,00;70,00;72,00;75,00;
2025;7;"5131";"1322";"0309";9597;"0590";"Sim";70,00;72,00;73,00;75,00;
2025;7;"5131";"1322";"0322";9621;"05NB";"Não";133,00;101,00;70,00;70,00;
2025;7;"5131";"1322";"0341";9668;"059P";"Sim";50,00;75,00;85,00;95,00;
2025;7;"5501";"1324";"0336";9638;"0599";"Não";1,00;1,00;2,00;2,00;
2025;7;"5501";"1324";"0350";9671;"059R";"Não";3,00;3,00;3,00;3,00;
2025;7;"5602";"1259";"0399";10126;"05DR";"Sim";26.954.503,00;27.497.325,00;28.040.147,00;28.582.968,00;
